title,aid,bvid,createTime,timelength,description,link
即使前方是深渊，我也不会停止，因为你从未离去（少女终末旅行X来自深渊MAD）,560662390,BV1Re4y1872L,2022-09-19 21:32:08,03:31,BGM：你从未离去 低技术力警告,https://www.bilibili.com/video/BV1Re4y1872L
环太平洋之盛宴峡谷预告片,557986426,BV1Ne4y1y7xt,2022-09-10 12:05:50,02:27,同学的一场魔典，10个人都是盛宴，觉得很有意思就把录像要过来了，自己剪了一下，第一次剪这种，不是很熟练,https://www.bilibili.com/video/BV1Ne4y1y7xt
当战双遇上梦龙，又是一个踩点盛宴,984225245,BV1ut4y1G7Hj,2022-08-06 09:17:17,02:04,bgm：Bones——Imagine Dragons 感觉不如上一期啊，不过也还可以了,https://www.bilibili.com/video/BV1ut4y1G7Hj
卡列新机体好感剧情来了，快来看看傲娇卡列吧,298440942,BV1XF411M79c,2022-04-22 11:37:32,17:46,无,https://www.bilibili.com/video/BV1XF411M79c
雷龙：这掉色人有点小帅，再看一眼,425595893,BV1N3411n7Cz,2022-04-09 17:43:00,01:18,BUFF刚上完准备动手，结果发现它不打我，那我也不打它了，友好相处(*^▽^*),https://www.bilibili.com/video/BV1N3411n7Cz
【战双】全角色好感度剧情~持续更新中（更新至里-超刻）,424302674,BV1Z3411L7jc,2022-02-26 13:14:30,573:45,有问题可以在评论区指出，评论都会看（如果我看的过来）  制作不易，求个三连,https://www.bilibili.com/video/BV1Z3411L7jc
菜月昴X鲁迪乌斯——平凡的英雄,724143107,BV12S4y1r7Hv,2022-02-18 21:14:40,04:02,无,https://www.bilibili.com/video/BV12S4y1r7Hv
【同祈迎春合集】构造体们在厨房会干些什么呢？,424035457,BV17341177LZ,2022-02-15 16:00:00,02:30,BGM：风中的苏鲁德——贺西格,https://www.bilibili.com/video/BV17341177LZ
踩 点 到 位   上 弦 干 碎,338334380,BV1KR4y1u7o7,2022-01-20 10:02:11,03:26,肝快没了，播放过5万就是胜利！,https://www.bilibili.com/video/BV1KR4y1u7o7
三十年前的今天，一个红色巨人倒下了，但是他们的精神绝对不会消逝,252514629,BV1kY411H73n,2021-12-25 11:17:41,04:21,乌拉！,https://www.bilibili.com/video/BV1kY411H73n
五级荣誉玩家的账号被无故封禁7天！,977456212,BV1u44y1J7gL,2021-12-18 15:17:47,01:18,虽说封了号对我没什么影响，但是腾讯wdnmd,https://www.bilibili.com/video/BV1u44y1J7gL
【战双】宣叙妄响过场CG合集,807001318,BV1M34y1R7yT,2021-12-03 13:07:14,02:37,被恶龙吃掉的cg和第一个没什么区别就没上传  几个结局的哈姆雷特只是说的话不同，所以只传了一个  剪辑可以拿去用,https://www.bilibili.com/video/BV1M34y1R7yT
【战双】吃黑卡 你绝对没见过的阴间boss哈姆雷特,549303589,BV1fq4y1u7iP,2021-11-18 17:53:18,01:43,离谱离谱离谱,https://www.bilibili.com/video/BV1fq4y1u7iP
【战双】没有实体的攻击 绝对无敌的哨戒机炮 这难道是帕弥什病毒的最终形态？,976703239,BV1K44y1v7n1,2021-11-16 10:00:19,00:36,这次被迫重开了，导致我精通还剩几关没重开机会了，没打过。,https://www.bilibili.com/video/BV1K44y1v7n1
【战双二周年GMV】用一个月做一个战双踩点 见识下首席的实力吧！,251566814,BV1Ev411M7Vy,2021-11-11 09:50:00,03:27,用了三周制作，又用了快一周缝缝补补，感觉还行。部分画面参考了 BV1wK411A7b2 画面全部来自官方PV 短片和手打素材 BGM：whatever it takes——Imagine Dragons 特地挑今天发视频，给各位指挥官在更新的闲暇之余找点乐子 喜欢就给个三连吧~~~,https://www.bilibili.com/video/BV1Ev411M7Vy
【战双】星星眼的构造体,934051140,BV15T4y197U7,2021-11-06 20:47:51,02:28,想说的都在视频里了,https://www.bilibili.com/video/BV15T4y197U7
【战双】当构造体不想上床你却强行让他们上床,506023448,BV1Hu411Z7eN,2021-10-13 11:50:13,01:47,这应该没人会说标题党吧 0.0,https://www.bilibili.com/video/BV1Hu411Z7eN
【全境特遣】9S：数字哥的队长技真是太好用啦，赛高泥嗨迪亚哒,293453355,BV17f4y177Sn,2021-10-07 12:03:36,01:14,虽然跑得很快但是好像出了bug，第一次用9S吃完所有是有1290分的，但是到后面不管怎么试都只有1170了，最后一波的有几个没有加分。 做视频的时候发现活动血清没了还用了20黑卡（成本极高）点个赞吧,https://www.bilibili.com/video/BV17f4y177Sn
我试图让元（海）龙（王）燃起来，还要踩点！,848254128,BV1RL4y187uH,2021-10-03 13:16:15,03:05,做出来的效果并不是很理想，一是我技术不行，二是元龙第二季是在太水啦。 BGM是  Man on a mission,https://www.bilibili.com/video/BV1RL4y187uH
【舞乐星辰合集】刀子吃多了？来看看可爱的构造体治愈一下吧,975786218,BV1y44y147i6,2021-10-01 22:12:05,01:55,录制出来不是那么模糊的但是放大了就变成了这样了，见谅。。。,https://www.bilibili.com/video/BV1y44y147i6
咒 术 大 道 宽 又 阔 （咒术回战自制OPX西游记）,717832583,BV12Q4y1C7VK,2021-09-03 17:41:48,01:46,感觉这歌和咒术回战挺搭的，就剪一起了。 如果觉得不错就点个赞投个币吧,https://www.bilibili.com/video/BV12Q4y1C7VK
骑砍2诡异bug家族旗帜变成人脸！,547553241,BV1Xq4y1M7yZ,2021-08-22 16:22:27,00:53,重启电脑就好了，重启游戏不知道行不行,https://www.bilibili.com/video/BV1Xq4y1M7yZ
精忠报国全新MV（骑砍2X精忠报国）,717158437,BV1KX4y1F7B9,2021-08-08 16:07:04,03:03,画面全部来自于骑马与砍杀2，制作时剪掉了一段副歌。录制时特意使用30帧并且很多地方用了慢速，所以看起来会有点卡顿。本来想着把歌词加上渐变色（像KTV那样）不过估计也没啥人看，加起来也比较麻烦就没弄上。,https://www.bilibili.com/video/BV1KX4y1F7B9
苟利国家生死以，岂因祸福避趋之（近代人物志）,333621310,BV15w411f7hx,2021-06-13 19:37:58,03:40,近代部分救亡图存的人物介绍，因为时间有限，还有很多人想弄没弄上，比如梁启超，谭嗣同，陈独秀，闻一多...... BGM：Becoming a Legend------John Dreamer  片段来自电影《林则徐》《辛亥革命》，电视剧《觉醒年代》《走向共和》 共产党员为什么这么少？因为之前已经有了建党百年的作品了。BV1cy4y1s7G1 做出来的效果，感觉像10年前的纪录片。。。。 觉得视频不错就点个赞呗,https://www.bilibili.com/video/BV15w411f7hx
千年华夏厦将倾，百年建党巨龙腾（庆祝建党百年剪辑）,802698243,BV1cy4y1s7G1,2021-04-17 17:52:58,04:58,bgm：cocoon---林友树 首先热烈庆祝中国共产党成立100周年 视频内容来自电影，电视剧，网络 3分18秒的老兵是抗日老兵，放在抗美援朝前面是节目效果，无意冒犯。 该视频已经参加校级庆祝建党100周年暨党史学习教育主题作品征集活动 因为时间不够，短时间内找不到合适的，所以只能用这个被很多人都用了的bgm 有很多想放进去的内容，因为视频限制5分钟也没能放的进去。总之效果并不是很好。 希望这个没什么技术含量的视频不会影响大家对于百年建党的喜悦。,https://www.bilibili.com/video/BV1cy4y1s7G1
但使焚风兵将在，不教尤里灭人心（心灵终结3.35焚风混剪）,929881001,BV19K4y127NZ,2021-04-02 19:14:54,03:03,BGM 0-1.42------liberators 1.42-3.02---------Freedom is ours（作者都是Epic Score） 因为焚风的戏份少得可怜，所以视频内容有不少遭遇战的还有来自天鹅绒纪，欧若拉，浮生若梦等优质MOD（任务包）。 如果觉得视频还不错就点个赞吧。。。 虽然没人看，但是我还是要郑重宣布心灵终结混剪系列含泪完结。以后做点其他的。,https://www.bilibili.com/video/BV19K4y127NZ
世界动荡险将至，钢铁长城化雄狮（心灵终结3.35混剪天朝特辑）,799462658,BV14y4y1a7ER,2021-02-27 15:50:56,02:17,BGM：Shadowfall---Audiomachine （剪辑过） 由于天朝在游戏里面的由玩家操控的戏份少之又少，所以不少画面都是用遭遇战硬凑的，整体效果不是很好，勉强还能看。 封面来源于网络。,https://www.bilibili.com/video/BV14y4y1a7ER
紫色旭日将升起，钢铁洪流破万敌（心灵终结3.35苏联混剪）,544283700,BV1Ei4y1T7A7,2021-02-21 20:34:53,02:57,BGM：HM2-Frank Klepacki（剪辑过） 苏联相对盟军还是稍微好做些的，不过感觉做出来效果还是不太好。 下期在做了 如果觉得好看就点个赞吧。。。,https://www.bilibili.com/video/BV1Ei4y1T7A7
紫色瘟疫人心丧，自由雄鹰震天翔 （心灵终结3.35盟军混剪）,801390611,BV1Dy4y1J7Gq,2021-02-01 11:52:24,03:15,0—1.20   Escape（Frank Klepacki） 1.38—2.04  get on it （Frank Klepacki） 2.10—3.14  virus  （Frank Klepacki） bgm都是游戏自带的，只不过被我剪辑过，在网易云都能搜到。 第一次做视频，应该还是有很多不足，自己看了几遍后，应该有几个地方还要一些修改，但是迫于某些原因接下来好几天碰不上电脑，而且还不知道什么时候有时间。所以只能发出来这个。前前后后也做了快40个小时了，大伙凑合着先看吧。如果觉得不错就点个赞再走吧,https://www.bilibili.com/video/BV1Dy4y1J7Gq
